시도,시군구,해수욕장명,2015년,2016년,2017년,2018년,2019년,2020년,2021년,2022년,2023년,2024년
강원도,강릉시,강문,15273 ,16052 ,15290 ,15324 ,22331 ,67832 ,58344 ,31013 ,40147 ,39865 
강원도,강릉시,경포,6375694 ,5837700 ,5887080 ,6078228 ,5253855 ,295998 ,266873 ,1066122 ,1435604 ,1770346 
강원도,강릉시,금진,2112 ,1342 ,1385 ,9793 ,24422 ,12089 ,2949 ,0 ,12903 ,7450 
강원도,강릉시,남항진,15988 ,11680 ,3450 ,4103 ,3713 ,0 ,0 ,0 ,0 ,9278 
강원도,강릉시,도직,1216 ,855 ,560 ,1826 ,7072 ,0 ,0 ,1834 ,0 ,0 
강원도,강릉시,등명,10988 ,10414 ,2890 ,8097 ,17818 ,0 ,7275 ,8578 ,12780 ,10950 
강원도,강릉시,사근진,18375 ,17595 ,15350 ,14323 ,12730 ,6637 ,12102 ,12244 ,20116 ,25240 
강원도,강릉시,사천,8801 ,17378 ,11140 ,4761 ,7978 ,15720 ,6871 ,3051 ,14205 ,12617 
강원도,강릉시,사천진,8970 ,20901 ,19180 ,6172 ,11737 ,34315 ,25239 ,4708 ,20615 ,20050 
강원도,강릉시,송정,7808 ,10580 ,10895 ,7620 ,10458 ,24626 ,27355 ,27323 ,39730 ,52643 
강원도,강릉시,순긋,7786 ,5720 ,3820 ,10409 ,9142 ,4758 ,8045 ,3848 ,14884 ,16510 
강원도,강릉시,안목,25245 ,16690 ,28270 ,15715 ,132568 ,113056 ,90962 ,95803 ,77645 ,234730 
강원도,강릉시,안인,14170 ,2673 ,2250 ,6364 ,16365 ,0 ,0 ,0 ,7074 ,7040 
강원도,강릉시,연곡,54495 ,9420 ,26428 ,15210 ,50051 ,16605 ,22161 ,4545 ,7732 ,4025 
강원도,강릉시,염전,9477 ,2342 ,1810 ,4543 ,0 ,0 ,0 ,0 ,0 ,0 
강원도,강릉시,영진,20889 ,7955 ,3770 ,9357 ,41916 ,32588 ,30182 ,17650 ,12191 ,13691 
강원도,강릉시,옥계,37015 ,18475 ,16770 ,13935 ,67856 ,10479 ,4019 ,7190 ,8681 ,4231 
강원도,강릉시,정동진,128378 ,20282 ,18540 ,55733 ,114657 ,74223 ,61889 ,34456 ,49588 ,46210 
강원도,강릉시,주문진해변,369883 ,302690 ,199510 ,324590 ,296970 ,73422 ,81291 ,241025 ,181918 ,253291 
강원도,강릉시,하평,7882 ,23888 ,14210 ,3640 ,6387 ,5430 ,3607 ,2595 ,9880 ,10965 
강원도,고성군,가진,17596 ,14261 ,13258 ,9034 ,10584 ,1574 ,13730 ,10670 ,9160 ,8540 
강원도,고성군,거진1리,15830 ,16934 ,17464 ,14478 ,15798 ,3335 ,13159 ,11353 ,6480 ,13025 
강원도,고성군,거진11리,43705 ,24891 ,24127 ,23735 ,26537 ,4937 ,22734 ,20953 ,21020 ,9500 
강원도,고성군,공현진1리,39375 ,36747 ,31411 ,24520 ,26545 ,3169 ,51929 ,27195 ,16535 ,13555 
강원도,고성군,공현진2리,35466 ,39979 ,35138 ,26744 ,29083 ,2850 ,29583 ,26065 ,15910 ,12745 
강원도,고성군,교암,13171 ,12525 ,15196 ,22690 ,24740 ,4880 ,34698 ,13384 ,9490 ,8631 
강원도,고성군,대진1리,10772 ,11906 ,10096 ,7693 ,9618 ,1292 ,10318 ,9264 ,6775 ,4926 
강원도,고성군,대진5리,11055 ,9629 ,7704 ,5582 ,6457 ,1121 ,12321 ,9675 ,6540 ,4275 
강원도,고성군,마차진,43684 ,158676 ,139932 ,91190 ,82002 ,4125 ,11769 ,8414 ,30845 ,18851 
강원도,고성군,명파,30428 ,32769 ,23221 ,4653 ,4704 ,2348 ,10418 ,9478 ,11310 ,6772 
강원도,고성군,문암2리,12536 ,11606 ,11257 ,10468 ,11818 ,1858 ,17849 ,15877 ,9640 ,6555 
강원도,고성군,반암,26485 ,23933 ,20139 ,10375 ,12491 ,1910 ,24887 ,11417 ,9235 ,11956 
강원도,고성군,백도,55752 ,70099 ,79007 ,78459 ,76188 ,10288 ,115634 ,141496 ,97740 ,64560 
강원도,고성군,봉수대,107556 ,91302 ,102710 ,77166 ,51360 ,6097 ,115708 ,142008 ,104115 ,81490 
강원도,고성군,봉포,69294 ,55982 ,58973 ,48200 ,75945 ,11930 ,76415 ,84325 ,102970 ,142075 
강원도,고성군,삼포,178929 ,136445 ,132062 ,224670 ,210735 ,10050 ,261024 ,287161 ,217105 ,333480 
강원도,고성군,삼포2리,41990 ,43651 ,45855 ,43315 ,42727 ,4787 ,56637 ,28702 ,41990 ,21801 
강원도,고성군,송지호,484362 ,359181 ,341123 ,239122 ,239700 ,25118 ,296936 ,333917 ,262040 ,362180 
강원도,고성군,송지호오토캠핑장,20419 ,21889 ,20227 ,16332 ,105608 ,11402 ,29630 ,5953 ,10780 ,7799 
강원도,고성군,아야진,75249 ,61240 ,68070 ,92380 ,20408 ,43200 ,231526 ,385083 ,363615 ,517925 
강원도,고성군,문암1리(자작도),31971 ,33486 ,32916 ,19850 ,18976 ,5510 ,61059 ,69851 ,76410 ,63808 
강원도,고성군,자작도캠핑장,0 ,0 ,0 ,0 ,0 ,0 ,10108 ,8500 ,12265 ,10610 
강원도,고성군,천진,82034 ,72111 ,78508 ,85860 ,90955 ,10847 ,53448 ,53678 ,79866 ,148285 
강원도,고성군,청간,25691 ,24053 ,29464 ,22430 ,23514 ,3517 ,13960 ,14306 ,13760 ,16926 
강원도,고성군,초도,34627 ,37786 ,27835 ,9075 ,11190 ,1134 ,19403 ,9569 ,5750 ,8666 
강원도,고성군,켄싱턴리조트,97612 ,123187 ,100850 ,64063 ,72587 ,24193 ,27822 ,23373 ,15525 ,39210 
강원도,고성군,화진포,593521 ,414164 ,314658 ,229353 ,230201 ,10168 ,170096 ,143756 ,130625 ,0 
강원도,고성군,화진포(현내),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,58675 
강원도,고성군,화진포(거진),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,62215 
강원도,고성군,화진포콘도,0 ,0 ,9730 ,0 ,15022 ,6838 ,9397 ,9915 ,7770 ,15849 
